RID,f_ipv4,service_type,program,length_bp,dbid,dbsize_bp,started_at,run_time
T88615X4014,-1838318962,1,3,31,3044012,1065365425,2019-10-02T00:00:01.677,6
T8861CA1014,1782579084,11,1,98,3820422,85971353635,2019-10-02T00:00:01.710,2
T886177G014,-1596735673,8,0,68,0,123456,2019-10-02T00:00:01.693,2
T8861G41014,686971253,8,0,1440,6409862,251782689291,2019-10-02T00:00:04.880,8
T8862YYP014,1271464837,11,1,350,3820422,85971353635,2019-10-02T00:00:02.770,33
T88666ES014,-1369767579,11,0,461,6154732,251782689291,2019-10-02T00:00:06.990,5
T8866EPG014,-1913420663,11,0,36,6154732,251782689291,2019-10-02T00:00:07.537,3
T88677H9014,81940283,11,0,594,6154732,251782689291,2019-10-02T00:00:08.067,7
T8867EBH014,-1416169417,11,1,212,3820422,85971353635,2019-10-02T00:00:11.270,63
T8868C17014,-1631231080,11,0,582,6154732,251782689291,2019-10-02T00:00:09.113,8
T8868PV7014,-153672097,1,0,800,6154732,251782689291,2019-10-02T00:42:18.723,964
T8869ZN1014,-1915649077,1,2,570,3240312,80909256287,2019-10-02T00:00:10.160,30
T88693W9014,990733954,8,0,723,1536283,23135365657,2019-10-02T00:00:12.943,6
T886B8RA014,1177024871,11,0,672,6154732,251782689291,2019-10-02T00:00:11.863,8
T886CX03014,-1211576465,8,0,580,0,123456,2019-10-02T00:00:12.397,2
T886CMV0014,889874050,11,0,1307,6154732,251782689291,2019-10-02T00:00:12.960,4
T886DA8N014,1578489228,11,0,200,6154732,251782689291,2019-10-02T00:00:14.007,2
T886DA5C014,-467257126,11,0,1357,6154732,251782689291,2019-10-02T00:00:17.147,8
T886F55H014,-1180497773,1,0,837,6154732,251782689291,2019-10-02T00:00:18.210,9
T886FED0014,-1571561289,11,0,439,6154732,251782689291,2019-10-02T00:00:16.083,2
T886H8BR014,-1725110381,11,0,196,62063,251782689291,2019-10-02T02:21:18.160,9
T886J6KJ014,687929984,11,0,50,6154732,251782689291,2019-10-02T00:00:19.257,2
T886KBFA014,-765974901,11,1,313,3820422,85971353635,2019-10-02T00:00:20.350,32
T886K3UJ014,453377895,11,0,215,6154732,251782689291,2019-10-02T00:00:20.350,3
T886M2ER014,839739010,11,0,1311,6154732,251782689291,2019-10-02T00:00:20.367,3
T886NENN014,-1561374581,22,0,63680,0,123456,2019-10-02T00:00:22.430,837
T886P6V6014,10273152,1,2,1907,3820422,85971353635,2019-10-02T00:17:26.727,262
T886P68C014,-1682726993,1,0,336,6154732,251782689291,2019-10-02T00:00:23.053,9
T886RE4R014,1558898322,1,2,1482,3820422,85971353635,2019-10-02T00:17:26.743,324
T886SUTC014,-1272230597,11,0,1000,6154732,251782689291,2019-10-02T00:00:25.180,7
T886SJPU014,686971253,8,0,1440,779763,270748224244,2019-10-02T00:00:27.320,8
T886SR0Z014,1406389351,11,0,258,6154732,251782689291,2019-10-02T00:00:25.180,3
T886S41M014,1939087277,11,0,3447,6154732,251782689291,2019-10-02T00:00:27.337,5
T886TR7P014,-1181222735,1,0,595,6154732,251782689291,2019-10-02T00:00:26.257,13
T886UYP5014,568212374,1,0,1182,6154732,251782689291,2019-10-02T00:00:43.013,170
T886UHZA014,1078650723,8,0,1052,6154732,251782689291,2019-10-02T00:21:14.673,472
T886UDNB014,-1913872790,11,1,2503,3820422,85971353635,2019-10-02T00:00:29.460,12
T886VY05014,939882956,1,0,4924,6154732,251782689291,2019-10-02T07:06:37.307,39
